kind,group_pair,rmse
raw,0-a,1.6569876552818747
raw,0-b,1.286806453456997
raw,0-c,3.4347927464068997
raw,0-d,2.5359463607039108
raw,0-e,3.779814705002514
raw,a-b,0.46474847693497
raw,a-c,1.8369269491103637
raw,a-d,0.942559252079577
raw,a-e,2.228852088944392
raw,b-c,2.2158392003298544
raw,b-d,1.310999477515642
raw,b-e,2.606968966881422
raw,c-d,0.9067638422441263
raw,c-e,0.4754698733813299
raw,d-e,1.3063735270243266
maxabs,0-a,0.25676298960257776
maxabs,0-b,0.1487013284041581
maxabs,0-c,0.7922177167926261
maxabs,0-d,0.5556571027759999
maxabs,0-e,0.8238511604607397
maxabs,a-b,0.1611599143820403
maxabs,a-c,0.6242297858274
maxabs,a-d,0.37008541521645705
maxabs,a-e,0.6572182610165396
maxabs,b-c,0.6492491577090442
maxabs,b-d,0.4090949299855245
maxabs,b-e,0.6810338954156852
maxabs,c-d,0.2605545559180182
maxabs,c-e,0.03312577200677959
maxabs,d-e,0.2930214269150711
zshape,0-a,0.10744633038615917
zshape,0-b,0.08632905838927683
zshape,0-c,0.16229283127483388
zshape,0-d,0.12663598792971995
zshape,0-e,0.18435688847107298
zshape,a-b,0.1547723568856336
zshape,a-c,0.23015259338610683
zshape,a-d,0.18804452114849993
zshape,a-e,0.2512218606976437
zshape,b-c,0.07950984142782311
zshape,b-d,0.042782144395866625
zshape,b-e,0.10153058785595734
zshape,c-d,0.043462657134892516
zshape,c-e,0.02236019283518291
zshape,d-e,0.06467866846650881
