kind,query_date,query_group,reference_date,reference_group,same_label,rmse
raw,2026-07-17,a,2026-07-13,a,True,1.4370089284586405
raw,2026-07-17,a,2026-07-13,b,False,1.587737719787929
raw,2026-07-17,a,2026-07-13,c,False,1.8564914084503916
raw,2026-07-17,a,2026-07-13,d,False,1.4060396165629758
raw,2026-07-17,a,2026-07-13,e,False,2.3282432753504105
raw,2026-07-17,b,2026-07-13,a,False,1.1926921388019114
raw,2026-07-17,b,2026-07-13,b,True,1.2552341390102608
raw,2026-07-17,b,2026-07-13,c,False,2.0731548249978653
raw,2026-07-17,b,2026-07-13,d,False,1.4427384108393773
raw,2026-07-17,b,2026-07-13,e,False,2.546898122209606
raw,2026-07-17,c,2026-07-13,a,False,1.6142451052574545
raw,2026-07-17,c,2026-07-13,b,False,1.8251923354157817
raw,2026-07-17,c,2026-07-13,c,True,1.6532188517863626
raw,2026-07-17,c,2026-07-13,d,False,1.3742711472058238
raw,2026-07-17,c,2026-07-13,e,False,2.1132886043956858
raw,2026-07-17,d,2026-07-13,a,False,1.5213907519795282
raw,2026-07-17,d,2026-07-13,b,False,1.6992068728970398
raw,2026-07-17,d,2026-07-13,c,False,1.7652334385583883
raw,2026-07-17,d,2026-07-13,d,True,1.3906062185171217
raw,2026-07-17,d,2026-07-13,e,False,2.23267068794913
raw,2026-07-17,e,2026-07-13,a,False,1.5067484574863979
raw,2026-07-17,e,2026-07-13,b,False,1.7345603195326142
raw,2026-07-17,e,2026-07-13,c,False,1.548657712234895
raw,2026-07-17,e,2026-07-13,d,False,1.2445205155360803
raw,2026-07-17,e,2026-07-13,e,True,2.013542813157621
