date,group,sample,file,points_active,E_min_V_vs_SCE,E_max_V_vs_SCE,I_min_mA,I_max_mA,I_at_-0.6V_mA,I_at_-0.4V_mA,I_at_-0.2V_mA,I_at_0V_mA,zero_cross_E_V_vs_SCE
2026-07-17,a,a-1,N719_0717-a-1_C06.txt,799,-0.79093319,0.0079834452,0.06676260231724784,0.4697420271960171,0.26748957424101105,0.39110262333750223,0.439058309965979,0.4684297581423836,
2026-07-17,a,a-2,N719_0717-a-2_C06.txt,799,-0.78976732,0.0072274236,0.07363141106860338,0.4697711819952186,0.30492790288490124,0.40429869144852704,0.4460372510988981,0.46888292062964376,
2026-07-17,b,b-1,N719_0717-b-1_C06.txt,799,-0.78928757,0.007376337,0.1096534176005255,1.012553236701272,0.5744683668330358,0.8347454246959517,0.9438911312595701,1.0099319319555924,
2026-07-17,b,b-2,N719_0717-b-2_C06.txt,799,-0.789509,0.0072426968,0.1165118671125836,1.046009529720653,0.6284728837049856,0.8900916855529765,0.9867223063964699,1.0437281617997933,
2026-07-17,c,c-1,N719_0717-c-1_C06.txt,799,-0.789509,0.007544342,-0.2512560418151599,0.0009762406857176265,-0.08504635379361508,-0.03156832001133462,-0.010830313258700427,0.0003274308482071807,-0.004672859491849816
2026-07-17,c,c-2,N719_0717-c-2_C06.txt,798,-0.78974956,0.0069257785,-0.213328072870218,0.2543980560519481,-0.023143077338898862,0.09480107889316351,0.1856878801516722,0.2518952903816395,-0.5666970553670219
2026-07-17,d,d-1,N719_0717-d-1_C06.txt,799,-0.78941107,0.0066822744,0.01006185250029104,0.307953116568652,0.10298582783899542,0.21350856750270114,0.27237615127447606,0.30684130604607535,
2026-07-17,d,d-2,N719_0717-d-2_C06.txt,799,-0.7897867,0.0071968772,0.01608044846469293,0.3118768686597999,0.13939576228411066,0.22948420028642275,0.2807077551900385,0.31069954538212835,
2026-07-17,e,e-1,N719_0717-e-1_C06.txt,798,-0.78912503,0.0070021441,-0.3776329370491478,0.2928558181632646,-0.08454911036269919,0.0788076581895436,0.1986519083573189,0.28988186621704487,-0.5067667011226256
2026-07-17,e,e-2,N719_0717-e-2_C06.txt,798,-0.78899312,0.0063822363,-0.705847869979011,0.3154460760680111,-0.22930475682696924,0.031825080592742916,0.19635683347167243,0.31199102839970866,-0.4310902387488923
2026-07-17,f,f-1,N719_0717-f-1_C06.txt,799,-0.78883797,0.0066203149,0.1503801150454414,1.787213670202571,1.284662279793612,1.6911942898153864,1.7588543948174955,1.7865930488222237,
2026-07-17,f,f-2,N719_0717-f-2_C06.txt,799,-0.78941375,0.0065072766,0.09558476847798891,1.834426080310291,1.2848676004530228,1.7394134918341981,1.8068250360043574,1.83327637789281,
2026-07-17,g,g-1,N719_0717-g-1_C06.txt,798,-0.78966177,0.0067806831,-0.4020960771789168,0.8463461344892327,0.12475848030766977,0.46594225338417417,0.6957318753846131,0.8422708317074564,-0.6561463926801433
2026-07-17,g,g-2,N719_0717-g-2_C06.txt,798,-0.79058194,0.0068265027,-0.4032275902314324,0.9411158995194864,0.23857847456576411,0.5933293684753963,0.8117106975961214,0.9374939238489972,-0.6901829097945673
2026-07-17,h,h-1,N719_0717-h-1_C06.txt,798,-0.78906989,0.0067348634,-2.536426496505737,0.008336888795549224,-1.3851348706834958,-0.6711177901352618,-0.2115445758596596,0.0022324797263955443,-0.0031323465853314537
2026-07-17,h,h-2,N719_0717-h-2_C06.txt,798,-0.79002452,0.0070174173,-2.27152583334181,1.284400549801912,-0.957155473513037,0.03358497103518839,0.7807720395850732,1.2710259990152937,-0.40821886228542476
2026-07-17,i,i-1,N719_0717-i-1_C06.txt,798,-0.78889048,0.0069639613,-1.826074155171714,4.321903358806267,0.3284459240858221,2.230963347150014,3.4567414054575134,4.295297628773617,-0.6304200352188264
2026-07-17,i,i-2,N719_0717-i-2_C06.txt,798,-0.78972667,0.0067749545,-1.410713177257115,3.697209033099085,0.1137555959587899,1.5842562176838828,2.782539625764304,3.6692794734881793,-0.6139727820590187
2026-07-17,j,j-1,N719_0717-j-1_C06.txt,798,-0.78918046,0.0072312416,-0.9903046528498334,3.456525412472814,0.22672365357088414,1.4296551383794915,2.5210702427259775,3.426981712822958,-0.6363838613977046
2026-07-17,j,j-2,N719_0717-j-2_C06.txt,798,-0.78966939,0.0066012233,-1.498233694500394,4.396970185366541,0.36180227019844285,2.1378266321956065,3.476135408348014,4.368186196721562,-0.6380769778323903
2026-07-17,k,k-1,N719_0717-k-1_C06.txt,798,-0.78931808,0.0067520449,-2.317724710040622,3.739940469915211,-0.28295815180409767,1.5099381139080876,2.775005150244906,3.7109379357263323,-0.5720057341079151
2026-07-17,k,k-2,N719_0717-k-2_C06.txt,798,-0.78907758,0.0069105034,-2.50307706197103,4.052295814860955,-0.21705761477260985,1.7574701242148714,3.0856500482330507,4.0253421170892825,-0.5802899702327526
