kind,same_group,group_pair,file_a,file_b,rmse
zshape,True,a-a,N719_0717-a-1_C06.txt,N719_0717-a-2_C06.txt,0.07564553194058975
zshape,False,a-b,N719_0717-a-1_C06.txt,N719_0717-b-1_C06.txt,0.022196364559680264
zshape,False,a-b,N719_0717-a-1_C06.txt,N719_0717-b-2_C06.txt,0.051942176705280084
zshape,False,a-c,N719_0717-a-1_C06.txt,N719_0717-c-1_C06.txt,0.12745762701764957
zshape,False,a-c,N719_0717-a-1_C06.txt,N719_0717-c-2_C06.txt,0.20067060803343406
zshape,False,a-d,N719_0717-a-1_C06.txt,N719_0717-d-1_C06.txt,0.18225938010130266
zshape,False,a-d,N719_0717-a-1_C06.txt,N719_0717-d-2_C06.txt,0.12454446372860482
zshape,False,a-e,N719_0717-a-1_C06.txt,N719_0717-e-1_C06.txt,0.18295437935643283
zshape,False,a-e,N719_0717-a-1_C06.txt,N719_0717-e-2_C06.txt,0.1362946989789314
zshape,False,a-f,N719_0717-a-1_C06.txt,N719_0717-f-1_C06.txt,0.21575705940031273
zshape,False,a-f,N719_0717-a-1_C06.txt,N719_0717-f-2_C06.txt,0.21113239026950392
zshape,False,a-g,N719_0717-a-1_C06.txt,N719_0717-g-1_C06.txt,0.16469906449089303
zshape,False,a-g,N719_0717-a-1_C06.txt,N719_0717-g-2_C06.txt,0.11811106151555585
zshape,False,a-h,N719_0717-a-1_C06.txt,N719_0717-h-1_C06.txt,0.1467956498971528
zshape,False,a-h,N719_0717-a-1_C06.txt,N719_0717-h-2_C06.txt,0.2213412926433351
zshape,False,a-i,N719_0717-a-1_C06.txt,N719_0717-i-1_C06.txt,0.20300946055558397
zshape,False,a-i,N719_0717-a-1_C06.txt,N719_0717-i-2_C06.txt,0.27785248683368596
zshape,False,a-j,N719_0717-a-1_C06.txt,N719_0717-j-1_C06.txt,0.3202142286368353
zshape,False,a-j,N719_0717-a-1_C06.txt,N719_0717-j-2_C06.txt,0.25123994939209415
zshape,False,a-k,N719_0717-a-1_C06.txt,N719_0717-k-1_C06.txt,0.22817683790533588
zshape,False,a-k,N719_0717-a-1_C06.txt,N719_0717-k-2_C06.txt,0.2107367717397551
zshape,False,a-b,N719_0717-a-2_C06.txt,N719_0717-b-1_C06.txt,0.06175423131883344
zshape,False,a-b,N719_0717-a-2_C06.txt,N719_0717-b-2_C06.txt,0.03763100615342794
zshape,False,a-c,N719_0717-a-2_C06.txt,N719_0717-c-1_C06.txt,0.06948062061927152
zshape,False,a-c,N719_0717-a-2_C06.txt,N719_0717-c-2_C06.txt,0.24816793735385378
zshape,False,a-d,N719_0717-a-2_C06.txt,N719_0717-d-1_C06.txt,0.2507274017016331
zshape,False,a-d,N719_0717-a-2_C06.txt,N719_0717-d-2_C06.txt,0.18507639013898644
zshape,False,a-e,N719_0717-a-2_C06.txt,N719_0717-e-1_C06.txt,0.22793941726799286
zshape,False,a-e,N719_0717-a-2_C06.txt,N719_0717-e-2_C06.txt,0.18312016985767257
zshape,False,a-f,N719_0717-a-2_C06.txt,N719_0717-f-1_C06.txt,0.1551677330254069
zshape,False,a-f,N719_0717-a-2_C06.txt,N719_0717-f-2_C06.txt,0.15363088487039936
zshape,False,a-g,N719_0717-a-2_C06.txt,N719_0717-g-1_C06.txt,0.21554512595172415
zshape,False,a-g,N719_0717-a-2_C06.txt,N719_0717-g-2_C06.txt,0.1616469870472041
zshape,False,a-h,N719_0717-a-2_C06.txt,N719_0717-h-1_C06.txt,0.19986656940874056
zshape,False,a-h,N719_0717-a-2_C06.txt,N719_0717-h-2_C06.txt,0.2750884435849184
zshape,False,a-i,N719_0717-a-2_C06.txt,N719_0717-i-1_C06.txt,0.2617397099549776
zshape,False,a-i,N719_0717-a-2_C06.txt,N719_0717-i-2_C06.txt,0.33286658590914825
zshape,False,a-j,N719_0717-a-2_C06.txt,N719_0717-j-1_C06.txt,0.37277039993862077
zshape,False,a-j,N719_0717-a-2_C06.txt,N719_0717-j-2_C06.txt,0.30808479272450917
zshape,False,a-k,N719_0717-a-2_C06.txt,N719_0717-k-1_C06.txt,0.2844724328363259
zshape,False,a-k,N719_0717-a-2_C06.txt,N719_0717-k-2_C06.txt,0.2681011459965487
zshape,True,b-b,N719_0717-b-1_C06.txt,N719_0717-b-2_C06.txt,0.037808685188991886
zshape,False,b-c,N719_0717-b-1_C06.txt,N719_0717-c-1_C06.txt,0.12077712553086127
zshape,False,b-c,N719_0717-b-1_C06.txt,N719_0717-c-2_C06.txt,0.21006825717586936
zshape,False,b-d,N719_0717-b-1_C06.txt,N719_0717-d-1_C06.txt,0.19703218825574867
zshape,False,b-d,N719_0717-b-1_C06.txt,N719_0717-d-2_C06.txt,0.13757864641460935
zshape,False,b-e,N719_0717-b-1_C06.txt,N719_0717-e-1_C06.txt,0.19186372020412093
zshape,False,b-e,N719_0717-b-1_C06.txt,N719_0717-e-2_C06.txt,0.14615666438593022
zshape,False,b-f,N719_0717-b-1_C06.txt,N719_0717-f-1_C06.txt,0.20308871745837417
zshape,False,b-f,N719_0717-b-1_C06.txt,N719_0717-f-2_C06.txt,0.1991279495424874
zshape,False,b-g,N719_0717-b-1_C06.txt,N719_0717-g-1_C06.txt,0.1757219525850404
zshape,False,b-g,N719_0717-b-1_C06.txt,N719_0717-g-2_C06.txt,0.12836978624370582
zshape,False,b-h,N719_0717-b-1_C06.txt,N719_0717-h-1_C06.txt,0.15954770769821963
zshape,False,b-h,N719_0717-b-1_C06.txt,N719_0717-h-2_C06.txt,0.23245745737683587
zshape,False,b-i,N719_0717-b-1_C06.txt,N719_0717-i-1_C06.txt,0.21581540018589046
zshape,False,b-i,N719_0717-b-1_C06.txt,N719_0717-i-2_C06.txt,0.2889417118691184
zshape,False,b-j,N719_0717-b-1_C06.txt,N719_0717-j-1_C06.txt,0.3302661642302822
zshape,False,b-j,N719_0717-b-1_C06.txt,N719_0717-j-2_C06.txt,0.26321162920540525
zshape,False,b-k,N719_0717-b-1_C06.txt,N719_0717-k-1_C06.txt,0.23976085684468462
zshape,False,b-k,N719_0717-b-1_C06.txt,N719_0717-k-2_C06.txt,0.22283705251137947
zshape,False,b-c,N719_0717-b-2_C06.txt,N719_0717-c-1_C06.txt,0.09897918834630169
zshape,False,b-c,N719_0717-b-2_C06.txt,N719_0717-c-2_C06.txt,0.24459904373285055
zshape,False,b-d,N719_0717-b-2_C06.txt,N719_0717-d-1_C06.txt,0.23307331031648132
zshape,False,b-d,N719_0717-b-2_C06.txt,N719_0717-d-2_C06.txt,0.17345784253627
zshape,False,b-e,N719_0717-b-2_C06.txt,N719_0717-e-1_C06.txt,0.22560530211257854
zshape,False,b-e,N719_0717-b-2_C06.txt,N719_0717-e-2_C06.txt,0.17959258528791308
zshape,False,b-f,N719_0717-b-2_C06.txt,N719_0717-f-1_C06.txt,0.1657228428282093
zshape,False,b-f,N719_0717-b-2_C06.txt,N719_0717-f-2_C06.txt,0.16165424124820707
zshape,False,b-g,N719_0717-b-2_C06.txt,N719_0717-g-1_C06.txt,0.2103087732772105
zshape,False,b-g,N719_0717-b-2_C06.txt,N719_0717-g-2_C06.txt,0.15999360728982287
zshape,False,b-h,N719_0717-b-2_C06.txt,N719_0717-h-1_C06.txt,0.19338454280956674
zshape,False,b-h,N719_0717-b-2_C06.txt,N719_0717-h-2_C06.txt,0.26812767097936807
zshape,False,b-i,N719_0717-b-2_C06.txt,N719_0717-i-1_C06.txt,0.2517760805409879
zshape,False,b-i,N719_0717-b-2_C06.txt,N719_0717-i-2_C06.txt,0.3249897619192834
zshape,False,b-j,N719_0717-b-2_C06.txt,N719_0717-j-1_C06.txt,0.3660909629076244
zshape,False,b-j,N719_0717-b-2_C06.txt,N719_0717-j-2_C06.txt,0.2992684336842629
zshape,False,b-k,N719_0717-b-2_C06.txt,N719_0717-k-1_C06.txt,0.2758373897268585
zshape,False,b-k,N719_0717-b-2_C06.txt,N719_0717-k-2_C06.txt,0.258888088354334
zshape,True,c-c,N719_0717-c-1_C06.txt,N719_0717-c-2_C06.txt,0.2726267711415941
zshape,False,c-d,N719_0717-c-1_C06.txt,N719_0717-d-1_C06.txt,0.2876115552867877
zshape,False,c-d,N719_0717-c-1_C06.txt,N719_0717-d-2_C06.txt,0.21970311972507645
zshape,False,c-e,N719_0717-c-1_C06.txt,N719_0717-e-1_C06.txt,0.251157387900169
zshape,False,c-e,N719_0717-c-1_C06.txt,N719_0717-e-2_C06.txt,0.20871358766996354
zshape,False,c-f,N719_0717-c-1_C06.txt,N719_0717-f-1_C06.txt,0.1503601852894137
zshape,False,c-f,N719_0717-c-1_C06.txt,N719_0717-f-2_C06.txt,0.15118286149038457
zshape,False,c-g,N719_0717-c-1_C06.txt,N719_0717-g-1_C06.txt,0.24185551144964512
zshape,False,c-g,N719_0717-c-1_C06.txt,N719_0717-g-2_C06.txt,0.18578901604940018
zshape,False,c-h,N719_0717-c-1_C06.txt,N719_0717-h-1_C06.txt,0.22587632326090862
zshape,False,c-h,N719_0717-c-1_C06.txt,N719_0717-h-2_C06.txt,0.3018868614610528
zshape,False,c-i,N719_0717-c-1_C06.txt,N719_0717-i-1_C06.txt,0.29117745462827943
zshape,False,c-i,N719_0717-c-1_C06.txt,N719_0717-i-2_C06.txt,0.3598420274176128
zshape,False,c-j,N719_0717-c-1_C06.txt,N719_0717-j-1_C06.txt,0.39842580862387483
zshape,False,c-j,N719_0717-c-1_C06.txt,N719_0717-j-2_C06.txt,0.33587344914985495
zshape,False,c-k,N719_0717-c-1_C06.txt,N719_0717-k-1_C06.txt,0.312950531010982
zshape,False,c-k,N719_0717-c-1_C06.txt,N719_0717-k-2_C06.txt,0.29718494990223243
zshape,False,c-d,N719_0717-c-2_C06.txt,N719_0717-d-1_C06.txt,0.10426459947919928
zshape,False,c-d,N719_0717-c-2_C06.txt,N719_0717-d-2_C06.txt,0.08756066541221552
zshape,False,c-e,N719_0717-c-2_C06.txt,N719_0717-e-1_C06.txt,0.02268676546583304
zshape,False,c-e,N719_0717-c-2_C06.txt,N719_0717-e-2_C06.txt,0.06721856833312373
zshape,False,c-f,N719_0717-c-2_C06.txt,N719_0717-f-1_C06.txt,0.40067033994822204
zshape,False,c-f,N719_0717-c-2_C06.txt,N719_0717-f-2_C06.txt,0.39881377407544666
zshape,False,c-g,N719_0717-c-2_C06.txt,N719_0717-g-1_C06.txt,0.04027096351982362
zshape,False,c-g,N719_0717-c-2_C06.txt,N719_0717-g-2_C06.txt,0.09179788819431688
