date,valid_samples,condition_matched_samples,condition_matched_hours,comparable_voc_mV,retention_pct,retention_ci_low_pct,retention_ci_high_pct,moving_7d_median_pct,lux_median,ambient_temp_C_median,humidity_pct_median,quality
2026-09-03,41,35,4,493.800,99.336,95.112,99.557,,951.700,29.750,60.780,partial
2026-09-04,153,153,13,497.400,100.060,99.819,100.352,,943.300,29.660,64.860,complete
2026-09-05,12,12,2,503.800,101.348,,,,943.300,29.670,76.860,partial
2026-09-06,53,0,0,,,,,,775.800,29.790,70.910,partial
2026-09-07,118,0,0,,,,,,715.000,30.230,61.190,partial
2026-09-08,6,0,0,,,,,,766.650,30.025,57.840,partial
2026-09-09,210,32,4,0.000,0.000,0.000,136.089,,693.300,30.570,58.860,partial
2026-09-10,287,0,0,,,,,,781.700,30.300,65.490,partial
2026-09-11,287,10,3,0.000,0.000,0.000,0.000,,780.000,29.680,72.690,partial
2026-09-12,287,0,0,,,,,,359.200,28.650,73.340,partial
2026-09-13,288,8,2,497.050,99.990,,,,555.800,29.230,51.945,partial
2026-09-14,287,0,0,,,,,,555.800,28.490,45.030,partial
2026-09-15,286,0,0,,,,,,556.700,29.020,51.220,partial
2026-09-16,283,0,0,,,,,,596.700,29.000,58.150,partial
2026-09-17,284,0,0,,,,,,141.700,30.625,57.335,partial
2026-09-18,285,0,0,,,,,,131.700,31.380,54.460,partial
2026-09-19,283,0,0,,,,,,131.700,28.850,49.680,partial
2026-09-20,284,0,0,,,,,,35.800,29.130,48.935,partial
2026-09-21,144,0,0,,,,,,398.300,29.580,54.835,partial
